,Exporter,Importer,Exporter_region,Import_region,Weight
8135,Greece,Senegal,Europe,Sub-Saharan Africa,4.417
8136,Hungary,Mongolia,Europe,Eastern and South-Eastern Asia (excl. China),4.412
8137,Colombia,Iraq,Latin America and the Caribbean,Northern Africa and Western Asia,4.4030000000000005
8138,Romania,Oman,Europe,Northern Africa and Western Asia,4.40168336
8139,Cameroon,"China, Hong Kong SAR",Sub-Saharan Africa,China,4.4
8140,Austria,Mongolia,Europe,Eastern and South-Eastern Asia (excl. China),4.3993503
8141,Hungary,Finland,Europe,Europe,4.395211328
8142,Australia,Uzbekistan,Australia and New Zealand,Central and Southern Asia,4.3938147
8143,United Arab Emirates,Romania,Northern Africa and Western Asia,Europe,4.38988317
8144,Belgium,Mongolia,Europe,Eastern and South-Eastern Asia (excl. China),4.382252
8145,Egypt,Sweden,Northern Africa and Western Asia,Europe,4.37800499
8146,Myanmar,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,4.37744
8147,El Salvador,Dominican Republic,Latin America and the Caribbean,Latin America and the Caribbean,4.357562
8148,Spain,Iraq,Europe,Northern Africa and Western Asia,4.356
8149,Dominican Republic,Turkey,Latin America and the Caribbean,Northern Africa and Western Asia,4.3490704000000004
8150,French Polynesia,France,Oceania (excl. Australia and New Zealand),Europe,4.335661368
8151,Canada,Saint Kitts and Nevis,Northern America,Latin America and the Caribbean,4.328719939
8152,Ukraine,Syria,Europe,Northern Africa and Western Asia,4.325799999999999
8153,Netherlands,Belize,Europe,Latin America and the Caribbean,4.32505
8154,Venezuela,Czech Republic,Latin America and the Caribbean,Europe,4.322
8155,Mauritius,Maldives,Sub-Saharan Africa,Central and Southern Asia,4.320668548
8156,Germany,Cameroon,Europe,Sub-Saharan Africa,4.316135325
8157,Curacao,Gambia,Latin America and the Caribbean,Sub-Saharan Africa,4.315
8158,Australia,Brazil,Australia and New Zealand,Latin America and the Caribbean,4.304
8159,Slovakia,Norway,Europe,Europe,4.292491666
8160,Canada,Iraq,Northern America,Northern Africa and Western Asia,4.29
8161,Montenegro,Luxembourg,Europe,Europe,4.288
8162,Vietnam,Mozambique,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,4.28
8163,Fiji,Papua New Guinea,Oceania (excl. Australia and New Zealand),Oceania (excl. Australia and New Zealand),4.271999999999999
8164,Cameroon,"Congo, Democratic Republic",Sub-Saharan Africa,Sub-Saharan Africa,4.271
8165,Indonesia,Honduras,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean,4.268
8166,Estonia,Spain,Europe,Europe,4.266
8167,Russian Federation,Senegal,Europe,Sub-Saharan Africa,4.261
8168,Netherlands,Venezuela,Europe,Latin America and the Caribbean,4.26050663
8169,Philippines,Morocco,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,4.2595
8170,Belgium,Colombia,Europe,Latin America and the Caribbean,4.25311
8171,"Congo, Republic",New Zealand,Sub-Saharan Africa,Australia and New Zealand,4.252
8172,Spain,Tanzania,Europe,Sub-Saharan Africa,4.249
8173,Denmark,Turkey,Europe,Northern Africa and Western Asia,4.24624418
8174,Japan,Nepal,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,4.245
8175,Netherlands,Mauritius,Europe,Sub-Saharan Africa,4.24189394
8176,Zimbabwe,Lithuania,Sub-Saharan Africa,Europe,4.236
8177,Belgium,Sint Maarten (Dutch part),Europe,Latin America and the Caribbean,4.219
8178,United Arab Emirates,Denmark,Northern Africa and Western Asia,Europe,4.199559605
8179,India,Zambia,Central and Southern Asia,Sub-Saharan Africa,4.19751566
8180,Syria,Armenia,Northern Africa and Western Asia,Northern Africa and Western Asia,4.1906
8181,Saint Kitts and Nevis,Finland,Latin America and the Caribbean,Europe,4.188
8182,Netherlands,Chad,Europe,Sub-Saharan Africa,4.188
8183,Gabon,Albania,Sub-Saharan Africa,Europe,4.177
8184,Russian Federation,Libya,Europe,Northern Africa and Western Asia,4.17063
8185,Ethiopia,Uruguay,Sub-Saharan Africa,Latin America and the Caribbean,4.16392
8186,Poland,North Macedonia,Europe,Europe,4.1623314
8187,Ireland,Pakistan,Europe,Central and Southern Asia,4.1614708
8188,Italy,Lao PDR,Europe,Eastern and South-Eastern Asia (excl. China),4.1610000000000005
8189,United Kingdom,Cayman Islands,Europe,Latin America and the Caribbean,4.16
8190,Spain,Burkina Faso,Europe,Sub-Saharan Africa,4.15909563
8191,Ireland,Qatar,Europe,Northern Africa and Western Asia,4.156501
8192,Latvia,Azerbaijan,Europe,Northern Africa and Western Asia,4.1482197
8193,China,Fiji,China,Oceania (excl. Australia and New Zealand),4.1468799999999995
8194,Poland,Maldives,Europe,Central and Southern Asia,4.146172
8195,Turkey,Trinidad and Tobago,Northern Africa and Western Asia,Latin America and the Caribbean,4.146
8196,Italy,Nicaragua,Europe,Latin America and the Caribbean,4.14302411
8197,Germany,Burkina Faso,Europe,Sub-Saharan Africa,4.140963299999999
8198,Cyprus,Portugal,Northern Africa and Western Asia,Europe,4.135
8199,China,Maldives,China,Central and Southern Asia,4.12904
8200,"China, Hong Kong SAR",New Zealand,China,Australia and New Zealand,4.12406997
8201,Spain,Maldives,Europe,Central and Southern Asia,4.1233168
8202,Armenia,Kazakhstan,Northern Africa and Western Asia,Central and Southern Asia,4.1230505
8203,Dominican Republic,Chile,Latin America and the Caribbean,Latin America and the Caribbean,4.121903714
