,Exporter,Importer,Exporter_region,Import_region,Weight
11249,Guyana,Montserrat,Latin America and the Caribbean,Latin America and the Caribbean,0.01
11250,Cote d'Ivoire,New Caledonia,Sub-Saharan Africa,Oceania (excl. Australia and New Zealand),0.01
11251,Denmark,Zambia,Europe,Sub-Saharan Africa,0.01
11252,Tokelau,Ghana,Oceania (excl. Australia and New Zealand),Sub-Saharan Africa,0.01
11253,Tonga,China,Oceania (excl. Australia and New Zealand),China,0.01
11254,Tonga,Samoa,Oceania (excl. Australia and New Zealand),Oceania (excl. Australia and New Zealand),0.01
11255,Burundi,Italy,Sub-Saharan Africa,Europe,0.01
11256,Kuwait,Indonesia,Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),0.01
11257,Denmark,Turkmenistan,Europe,Central and Southern Asia,0.01
11258,New Zealand,Cambodia,Australia and New Zealand,Eastern and South-Eastern Asia (excl. China),0.01
11259,Latvia,Thailand,Europe,Eastern and South-Eastern Asia (excl. China),0.009999999999999998
11260,Finland,Iran,Europe,Central and Southern Asia,0.009999999999999998
11261,Luxembourg,Georgia,Europe,Northern Africa and Western Asia,0.009999999
11262,Venezuela,El Salvador,Latin America and the Caribbean,Latin America and the Caribbean,0.00988
11263,Montenegro,Norway,Europe,Europe,0.0098
11264,Jordan,"Korea, Republic",Northern Africa and Western Asia,Eastern and South-Eastern Asia (excl. China),0.00975
11265,Lithuania,Montenegro,Europe,Europe,0.00973
11266,Philippines,Botswana,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,0.00971
11267,Nigeria,Eswatini,Sub-Saharan Africa,Sub-Saharan Africa,0.0097
11268,Morocco,Armenia,Northern Africa and Western Asia,Northern Africa and Western Asia,0.009600000000000001
11269,Paraguay,Singapore,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),0.0096
11270,Armenia,Serbia,Northern Africa and Western Asia,Europe,0.0096
11271,Ukraine,Slovenia,Europe,Europe,0.0096
11272,State of Palestine,Poland,Northern Africa and Western Asia,Europe,0.00947
11273,Portugal,Slovakia,Europe,Europe,0.00947
11274,Lao PDR,Austria,Eastern and South-Eastern Asia (excl. China),Europe,0.009434
11275,Cameroon,Sweden,Sub-Saharan Africa,Europe,0.009399
11276,Ghana,Namibia,Sub-Saharan Africa,Sub-Saharan Africa,0.009302000000000001
11277,Mauritius,Qatar,Sub-Saharan Africa,Northern Africa and Western Asia,0.009300000000000001
11278,El Salvador,Cuba,Latin America and the Caribbean,Latin America and the Caribbean,0.0093
11279,"China, Macao SAR",United Arab Emirates,China,Northern Africa and Western Asia,0.00928
11280,Tunisia,Netherlands,Northern Africa and Western Asia,Europe,0.009215
11281,Pakistan,Iceland,Central and Southern Asia,Europe,0.009000000000000001
11282,Georgia,Malta,Northern Africa and Western Asia,Europe,0.009000000000000001
11283,South Africa,Bangladesh,Sub-Saharan Africa,Central and Southern Asia,0.009000000000000001
11284,Nepal,Maldives,Central and Southern Asia,Central and Southern Asia,0.009000000000000001
